cluster_id,latitude,longitude,first_seen,last_seen,duration_hours,detection_count,average_frp,maximum_frp,average_brightness,detections_7d,detections_30d,unique_detection_days,persistence,confidence,primary_satellite,distance_to_center_km,detection_ids
EVENT_0001,31.14276,76.02511,2024-09-17 07:54,2024-09-17 07:54,0.0,1,2.19,2.19,332.44,1,1,1,Transient,nominal,N20,32.062,['FIRMS_N20_20240917_0754_31.1428N_76.0251E']
EVENT_0002,30.99957,76.25867,2024-09-20 08:38,2024-09-20 08:38,0.0,1,1.74,1.74,328.68,1,1,1,Transient,nominal,N20,37.015,['FIRMS_N20_20240920_0838_30.9996N_76.2587E']
EVENT_0003,31.09829,76.02007,2024-09-20 08:38,2024-09-20 08:38,0.0,1,5.57,5.57,367.0,1,1,1,Transient,high,N20,27.338,['FIRMS_N20_20240920_0838_31.0983N_76.0201E']
EVENT_0004,31.0749,76.21963,2024-09-21 08:19,2024-09-21 08:19,0.0,1,5.72,5.72,335.33,1,1,1,Transient,nominal,N20,37.795,['FIRMS_N20_20240921_0819_31.0749N_76.2196E']
EVENT_0005,31.07393,76.22383,2024-09-21 08:19,2024-09-21 08:19,0.0,1,3.71,3.71,333.23,1,1,1,Transient,nominal,N20,38.057,['FIRMS_N20_20240921_0819_31.0739N_76.2238E']
EVENT_0006,31.14052,76.08961,2024-09-22 08:00,2024-09-22 08:00,0.0,1,3.22,3.22,332.15,1,1,1,Transient,nominal,N20,34.632,['FIRMS_N20_20240922_0800_31.1405N_76.0896E']
EVENT_0007,31.05871,76.2169,2024-09-24 07:23,2024-09-24 07:23,0.0,1,3.66,3.66,333.23,1,1,1,Transient,nominal,N20,36.554,['FIRMS_N20_20240924_0723_31.0587N_76.2169E']
EVENT_0008,31.0674,76.1916,2024-09-25 08:44,2024-09-25 08:44,0.0,1,6.09,6.09,345.88,1,1,1,Transient,nominal,N20,35.153,['FIRMS_N20_20240925_0844_31.0674N_76.1916E']
EVENT_0009,30.85719,75.90854,2024-09-26 20:49,2024-09-26 20:49,0.0,1,0.78,0.78,305.75,1,1,1,Transient,nominal,N20,2.264,['FIRMS_N20_20240926_2049_30.8572N_75.9085E']
EVENT_0010,30.54038,75.91172,2024-09-27 08:06,2024-09-27 08:06,0.0,1,4.38,4.38,331.14,1,1,1,Transient,nominal,N20,37.299,['FIRMS_N20_20240927_0806_30.5404N_75.9117E']
EVENT_0011,30.90665,75.89019,2024-09-27 20:30,2024-09-27 20:30,0.0,1,0.63,0.63,304.96,1,1,1,Transient,nominal,N20,3.539,['FIRMS_N20_20240927_2030_30.9066N_75.8902E']
EVENT_0012,30.88193,75.99387,2024-09-27 20:30,2024-09-27 20:30,0.0,1,0.55,0.55,305.94,1,1,1,Transient,nominal,N20,9.13,['FIRMS_N20_20240927_2030_30.8819N_75.9939E']
EVENT_0013,30.64304,75.87984,2024-10-01 20:56,2024-10-01 20:56,0.0,1,0.73,0.73,307.28,1,1,1,Transient,nominal,N20,25.924,['FIRMS_N20_20241001_2056_30.6430N_75.8798E']
EVENT_0014,30.88392,75.99377,2024-10-02 20:37,2024-10-02 20:37,0.0,1,0.86,0.86,308.78,1,1,1,Transient,nominal,N20,9.14,['FIRMS_N20_20241002_2037_30.8839N_75.9938E']
EVENT_0015,30.54679,75.87518,2024-10-03 07:54,2024-10-03 07:54,0.0,1,1.6,1.6,333.95,1,1,1,Transient,nominal,N20,36.633,['FIRMS_N20_20241003_0754_30.5468N_75.8752E']
EVENT_0016,30.98822,75.92881,2024-10-03 07:54,2024-10-03 07:54,0.0,1,2.68,2.68,339.49,1,1,1,Transient,nominal,N20,12.85,['FIRMS_N20_20241003_0754_30.9882N_75.9288E']
EVENT_0017,31.07029,76.20796,2024-10-03 07:54,2024-10-03 07:54,0.0,1,4.68,4.68,342.72,1,1,1,Transient,nominal,N20,36.594,['FIRMS_N20_20241003_0754_31.0703N_76.2080E']
EVENT_0018,30.5049,75.8494,2024-10-06 08:38,2024-10-06 08:38,0.0,1,2.11,2.11,336.51,1,1,1,Transient,nominal,N20,41.489,['FIRMS_N20_20241006_0838_30.5049N_75.8494E']
EVENT_0019,30.55743,76.10709,2024-10-07 20:43,2024-10-07 20:43,0.0,1,5.34,5.34,330.77,1,1,1,Transient,nominal,N20,40.615,['FIRMS_N20_20241007_2043_30.5574N_76.1071E']
EVENT_0020,30.55512,76.110745,2024-10-07 20:43,2024-10-07 20:43,0.0,2,3.25,4.6,327.28,2,2,1,Transient,nominal,N20,41.01,"['FIRMS_N20_20241007_2043_30.5568N_76.1111E', 'FIRMS_N20_20241007_2043_30.5535N_76.1104E']"
EVENT_0021,30.50137,76.03246,2024-10-08 08:00,2024-10-08 08:00,0.0,1,3.95,3.95,335.42,1,1,1,Transient,nominal,N20,43.543,['FIRMS_N20_20241008_0800_30.5014N_76.0325E']
EVENT_0022,30.98266,75.41201,2024-10-08 08:01,2024-10-08 08:01,0.0,1,2.83,2.83,340.4,1,1,1,Transient,nominal,N20,47.903,['FIRMS_N20_20241008_0801_30.9827N_75.4120E']
