cluster_id,latitude,longitude,first_seen,last_seen,duration_hours,detection_count,average_frp,maximum_frp,average_brightness,detections_7d,detections_30d,unique_detection_days,persistence,confidence,primary_satellite,distance_to_center_km,detection_ids
EVENT_0001,31.1302,76.14406,2024-09-16 07:26,2024-09-16 07:26,0.0,1,3.95,3.95,330.32,1,1,1,Transient,nominal,N21,36.731,['FIRMS_N21_20240916_0726_31.1302N_76.1441E']
EVENT_0002,31.09581,76.20469,2024-09-21 07:31,2024-09-21 07:31,0.0,1,4.56,4.56,333.06,1,1,1,Transient,nominal,N21,38.098,['FIRMS_N21_20240921_0731_31.0958N_76.2047E']
EVENT_0003,31.06104,76.21888,2024-09-23 08:35,2024-09-23 08:35,0.0,1,7.68,7.68,339.6,1,1,1,Transient,nominal,N21,36.855,['FIRMS_N21_20240923_0835_31.0610N_76.2189E']
EVENT_0004,31.04636,76.19603,2024-09-24 08:16,2024-09-24 08:16,0.0,1,2.4,2.4,331.25,1,1,1,Transient,nominal,N21,34.138,['FIRMS_N21_20240924_0816_31.0464N_76.1960E']
EVENT_0005,30.95872,76.22665,2024-09-25 07:56,2024-09-25 07:56,0.0,1,3.63,3.63,332.92,1,1,1,Transient,nominal,N21,32.641,['FIRMS_N21_20240925_0756_30.9587N_76.2267E']
EVENT_0006,30.883,75.99625,2024-09-29 20:46,2024-09-29 20:46,0.0,1,0.54,0.54,304.89,1,1,1,Transient,nominal,N21,9.366,['FIRMS_N21_20240929_2046_30.8830N_75.9963E']
EVENT_0007,30.55615,75.88567,2024-09-30 08:03,2024-09-30 08:03,0.0,1,3.23,3.23,333.8,1,1,1,Transient,nominal,N21,35.545,['FIRMS_N21_20240930_0803_30.5561N_75.8857E']
EVENT_0008,30.88178,75.9966,2024-09-30 20:25,2024-09-30 20:25,0.0,1,0.92,0.92,306.03,1,1,1,Transient,nominal,N21,9.389,['FIRMS_N21_20240930_2025_30.8818N_75.9966E']
EVENT_0009,31.12844,76.02329,2024-10-03 08:48,2024-10-03 08:48,0.0,1,3.26,3.26,332.02,1,1,1,Transient,nominal,N21,30.525,['FIRMS_N21_20241003_0848_31.1284N_76.0233E']
EVENT_0010,30.53264,75.91421,2024-10-05 08:09,2024-10-05 08:09,0.0,1,3.22,3.22,333.55,1,1,1,Transient,nominal,N21,38.168,['FIRMS_N21_20241005_0809_30.5326N_75.9142E']
EVENT_0011,30.98621,76.0652,2024-10-07 07:31,2024-10-07 07:31,0.0,1,6.76,6.76,339.2,1,1,1,Transient,nominal,N21,20.102,['FIRMS_N21_20241007_0731_30.9862N_76.0652E']
EVENT_0012,30.5551,76.107445,2024-10-07 19:55,2024-10-07 21:36,1.68,2,5.77,6.91,328.57,2,2,1,Transient,nominal,N21,40.857,"['FIRMS_N21_20241007_1955_30.5554N_76.1076E', 'FIRMS_N21_20241007_2136_30.5548N_76.1073E']"
EVENT_0013,30.55509,76.11223,2024-10-07 19:55,2024-10-07 19:55,0.0,1,4.26,4.26,306.09,1,1,1,Transient,nominal,N21,41.084,['FIRMS_N21_20241007_1955_30.5551N_76.1122E']
EVENT_0014,30.99463,75.39338,2024-10-08 07:14,2024-10-08 07:14,0.0,1,3.25,3.25,329.92,1,1,1,Transient,nominal,N21,49.96,['FIRMS_N21_20241008_0714_30.9946N_75.3934E']
EVENT_0015,30.89298,76.27853,2024-10-08 07:14,2024-10-08 07:14,0.0,1,2.22,2.22,330.68,1,1,1,Transient,nominal,N21,36.319,['FIRMS_N21_20241008_0714_30.8930N_76.2785E']
EVENT_0016,30.51155,75.89558,2024-10-09 08:35,2024-10-09 08:35,0.0,1,9.41,9.41,340.68,1,1,1,Transient,nominal,N21,40.484,['FIRMS_N21_20241009_0835_30.5115N_75.8956E']
EVENT_0017,30.56846,75.89437,2024-10-09 08:35,2024-10-09 08:35,0.0,1,4.14,4.14,334.93,1,1,1,Transient,nominal,N21,34.157,['FIRMS_N21_20241009_0835_30.5685N_75.8944E']
EVENT_0018,30.48358,75.84696,2024-10-09 08:35,2024-10-09 08:35,0.0,1,9.96,9.96,339.29,1,1,1,Transient,nominal,N21,43.871,['FIRMS_N21_20241009_0835_30.4836N_75.8470E']
EVENT_0019,30.48546,75.8429,2024-10-09 08:35,2024-10-09 08:35,0.0,1,4.4,4.4,339.12,1,1,1,Transient,nominal,N21,43.709,['FIRMS_N21_20241009_0835_30.4855N_75.8429E']
EVENT_0020,30.64417,76.11948,2024-10-10 08:16,2024-10-10 08:16,0.0,1,14.35,14.35,337.95,1,1,1,Transient,nominal,N21,33.291,['FIRMS_N21_20241010_0816_30.6442N_76.1195E']
