latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
31.1302,76.14406,330.32,0.57,0.52,2024-09-16,0726,N21,VIIRS,n,2.0NRT,296.53,3.95,D
31.09581,76.20469,333.06,0.46,0.47,2024-09-21,0731,N21,VIIRS,n,2.0NRT,299.36,4.56,D
31.06104,76.21888,339.6,0.58,0.52,2024-09-23,0835,N21,VIIRS,n,2.0NRT,300.56,7.68,D
31.04636,76.19603,331.25,0.48,0.4,2024-09-24,0816,N21,VIIRS,n,2.0NRT,299.36,2.4,D
30.95872,76.22665,332.92,0.39,0.36,2024-09-25,0756,N21,VIIRS,n,2.0NRT,298.89,3.63,D
30.883,75.99625,304.89,0.39,0.36,2024-09-29,2046,N21,VIIRS,n,2.0NRT,294.59,0.54,N
30.55615,75.88567,333.8,0.38,0.36,2024-09-30,0803,N21,VIIRS,n,2.0NRT,299.84,3.23,D
30.88178,75.9966,306.03,0.48,0.4,2024-09-30,2025,N21,VIIRS,n,2.0NRT,295.53,0.92,N
31.12844,76.02329,332.02,0.44,0.63,2024-10-03,0848,N21,VIIRS,n,2.0NRT,300,3.26,D
30.53264,75.91421,333.55,0.41,0.37,2024-10-05,0809,N21,VIIRS,n,2.0NRT,302.05,3.22,D
30.53223,76.39634,335.5,0.41,0.37,2024-10-06,0750,N21,VIIRS,n,2.0NRT,298,2.27,D
30.98621,76.0652,339.2,0.46,0.47,2024-10-07,0731,N21,VIIRS,n,2.0NRT,301.28,6.76,D
30.5554,76.1076,337.19,0.44,0.63,2024-10-07,1955,N21,VIIRS,n,2.0NRT,296.84,6.91,N
30.55509,76.11223,306.09,0.44,0.63,2024-10-07,1955,N21,VIIRS,n,2.0NRT,292.64,4.26,N
30.5548,76.10729,319.95,0.55,0.68,2024-10-07,2136,N21,VIIRS,n,2.0NRT,293.55,4.63,N
30.99463,75.39338,329.92,0.48,0.64,2024-10-08,0714,N21,VIIRS,n,2.0NRT,297.87,3.25,D
30.89298,76.27853,330.68,0.43,0.62,2024-10-08,0714,N21,VIIRS,n,2.0NRT,297.01,2.22,D
30.51155,75.89558,340.68,0.55,0.51,2024-10-09,0835,N21,VIIRS,n,2.0NRT,301.96,9.41,D
30.56846,75.89437,334.93,0.55,0.51,2024-10-09,0835,N21,VIIRS,n,2.0NRT,299.73,4.14,D
30.48358,75.84696,339.29,0.55,0.51,2024-10-09,0835,N21,VIIRS,n,2.0NRT,299.54,9.96,D
30.48546,75.8429,339.12,0.55,0.51,2024-10-09,0835,N21,VIIRS,n,2.0NRT,299.39,4.4,D
30.64417,76.11948,337.95,0.47,0.4,2024-10-10,0816,N21,VIIRS,n,2.0NRT,303.74,14.35,D
30.54532,75.88905,334.15,0.46,0.39,2024-10-10,0816,N21,VIIRS,l,2.0NRT,307.54,9.9,D
31.03147,75.45496,341.11,0.45,0.39,2024-10-10,0816,N21,VIIRS,n,2.0NRT,302.12,4.5,D
30.88341,75.99518,302.98,0.39,0.36,2024-10-10,2040,N21,VIIRS,n,2.0NRT,291.21,0.58,N
31.02934,76.23028,333.21,0.39,0.36,2024-10-11,0756,N21,VIIRS,l,2.0NRT,306.24,3.39,D
30.44295,75.91782,336.04,0.39,0.36,2024-10-11,0756,N21,VIIRS,n,2.0NRT,302.04,2.44,D
30.54534,75.896,332.8,0.39,0.36,2024-10-11,0756,N21,VIIRS,n,2.0NRT,305.03,1.73,D
30.57118,76.32989,331.02,0.56,0.43,2024-10-12,0737,N21,VIIRS,n,2.0NRT,301.89,3.6,D
30.50807,75.93047,339.25,0.39,0.44,2024-10-12,0737,N21,VIIRS,n,2.0NRT,304.21,2.97,D
30.45409,76.04469,333.85,0.39,0.44,2024-10-12,0737,N21,VIIRS,n,2.0NRT,302.4,3.11,D
30.49545,75.95071,340.32,0.39,0.44,2024-10-12,0737,N21,VIIRS,n,2.0NRT,302.65,8.69,D
30.56819,76.08652,339.24,0.39,0.44,2024-10-12,0737,N21,VIIRS,n,2.0NRT,302.85,4.91,D
30.88245,76.16028,342.63,0.35,0.57,2024-10-13,0720,N21,VIIRS,n,2.0NRT,300.77,4,D
30.58736,75.80772,367,0.66,0.73,2024-10-13,0900,N21,VIIRS,h,2.0NRT,299.51,20.52,D
