latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.14276,76.02511,332.44,0.39,0.36,2024-09-17,0754,N20,VIIRS,n,2,300.29,2.19,D,0
30.99957,76.25867,328.68,0.36,0.57,2024-09-20,0838,N20,VIIRS,n,2,297.38,1.74,D,0
31.09829,76.02007,367,0.35,0.56,2024-09-20,0838,N20,VIIRS,h,2,297.25,5.57,D,0
31.0749,76.21963,335.33,0.57,0.43,2024-09-21,0819,N20,VIIRS,n,2,300.2,5.72,D,0
31.07393,76.22383,333.23,0.57,0.43,2024-09-21,0819,N20,VIIRS,n,2,299.65,3.71,D,0
31.14052,76.08961,332.15,0.39,0.36,2024-09-22,0800,N20,VIIRS,n,2,298.68,3.22,D,0
31.05871,76.2169,333.23,0.57,0.52,2024-09-24,0723,N20,VIIRS,n,2,296.65,3.66,D,0
31.0674,76.1916,345.88,0.44,0.62,2024-09-25,0844,N20,VIIRS,n,2,293.69,6.09,D,0
30.85719,75.90854,305.75,0.41,0.37,2024-09-26,2049,N20,VIIRS,n,2,293.54,0.78,N,0
30.54038,75.91172,331.14,0.4,0.37,2024-09-27,0806,N20,VIIRS,n,2,296.87,4.38,D,0
30.90665,75.89019,304.96,0.42,0.38,2024-09-27,2030,N20,VIIRS,n,2,293.79,0.63,N,0
30.88193,75.99387,305.94,0.42,0.38,2024-09-27,2030,N20,VIIRS,n,2,292.75,0.55,N,2
30.64304,75.87984,307.28,0.47,0.4,2024-10-01,2056,N20,VIIRS,n,2,296.97,0.73,N,0
30.88392,75.99377,308.78,0.39,0.36,2024-10-02,2037,N20,VIIRS,n,2,296.36,0.86,N,2
30.54679,75.87518,333.95,0.39,0.36,2024-10-03,0754,N20,VIIRS,n,2,306.01,1.6,D,0
30.98822,75.92881,339.49,0.39,0.36,2024-10-03,0754,N20,VIIRS,n,2,304.53,2.68,D,0
31.07029,76.20796,342.72,0.39,0.36,2024-10-03,0754,N20,VIIRS,n,2,304.83,4.68,D,0
30.5049,75.8494,336.51,0.34,0.56,2024-10-06,0838,N20,VIIRS,n,2,296.12,2.11,D,0
30.49381,75.45517,330.91,0.63,0.54,2024-10-06,0838,N20,VIIRS,n,2,295.57,5.06,D,0
30.55743,76.10709,330.77,0.39,0.36,2024-10-07,2043,N20,VIIRS,n,2,298.41,5.34,N,0
30.55677,76.11111,330.83,0.39,0.36,2024-10-07,2043,N20,VIIRS,n,2,298.04,4.6,N,0
30.55347,76.11038,323.74,0.39,0.36,2024-10-07,2043,N20,VIIRS,n,2,294.65,1.91,N,0
30.50137,76.03246,335.42,0.39,0.36,2024-10-08,0800,N20,VIIRS,n,2,302.47,3.95,D,0
30.98266,75.41201,340.4,0.38,0.36,2024-10-08,0801,N20,VIIRS,n,2,301.75,2.83,D,0
30.68881,75.82951,333.27,0.5,0.41,2024-10-09,0742,N20,VIIRS,n,2,302.76,3.3,D,0
31.04088,76.19337,332.33,0.48,0.4,2024-10-09,0742,N20,VIIRS,n,2,302.08,2.37,D,0
30.99605,76.06702,339.88,0.58,0.52,2024-10-10,0723,N20,VIIRS,n,2,299.32,12.89,D,0
30.99666,76.06596,339.55,0.58,0.52,2024-10-10,0723,N20,VIIRS,n,2,299.46,6.71,D,0
30.53651,75.68592,339.38,0.41,0.61,2024-10-11,0844,N20,VIIRS,n,2,297.95,5.86,D,0
30.53622,75.68159,343.24,0.41,0.61,2024-10-11,0844,N20,VIIRS,n,2,300.15,6.77,D,0
30.96649,75.84308,341.72,0.44,0.46,2024-10-12,0826,N20,VIIRS,n,2,304.87,11.94,D,0
30.54998,75.86934,334.23,0.41,0.37,2024-10-13,0807,N20,VIIRS,n,2,305.51,3.22,D,0
30.65962,76.18678,332.59,0.41,0.37,2024-10-13,0807,N20,VIIRS,n,2,301.96,4.05,D,0
30.88406,75.99612,302.73,0.42,0.37,2024-10-13,2031,N20,VIIRS,n,2,292.08,0.38,N,2
30.42369,76.23619,333.67,0.42,0.38,2024-10-14,0748,N20,VIIRS,n,2,301.97,3.67,D,0
30.57875,76.38062,331.3,0.42,0.37,2024-10-14,0748,N20,VIIRS,n,2,301.1,1.94,D,0
30.54727,75.87379,345.25,0.43,0.38,2024-10-14,0748,N20,VIIRS,n,2,306.73,11.22,D,0
30.57136,75.82662,330.37,0.43,0.38,2024-10-14,0748,N20,VIIRS,n,2,301.63,2.91,D,0
30.55083,75.66846,333.17,0.44,0.38,2024-10-14,0748,N20,VIIRS,n,2,303.02,2.6,D,0
30.70964,75.86953,330.95,0.43,0.38,2024-10-14,0748,N20,VIIRS,n,2,300.01,2.72,D,0
30.58752,76.25146,336.87,0.46,0.47,2024-10-15,0729,N20,VIIRS,n,2,303.36,3.91,D,0
30.5921,75.68541,339.57,0.5,0.49,2024-10-15,0729,N20,VIIRS,n,2,300.16,4.79,D,0
31.14453,76.21889,331.65,0.45,0.47,2024-10-15,0729,N20,VIIRS,n,2,303.2,3.26,D,0
30.50496,76.06463,333.59,0.54,0.68,2024-10-16,0851,N20,VIIRS,n,2,299.37,3.71,D,0
31.05868,76.21424,332.2,0.8,0.78,2024-10-17,0652,N20,VIIRS,n,2,296.21,5.93,D,0
30.58011,76.33664,342.31,0.58,0.52,2024-10-17,0832,N20,VIIRS,n,2,301.74,8.36,D,0
30.59351,76.32289,330.46,0.58,0.52,2024-10-17,0832,N20,VIIRS,n,2,302.55,3.23,D,0
30.57902,76.33559,336.14,0.58,0.52,2024-10-17,0832,N20,VIIRS,n,2,302.09,3.91,D,0
30.58386,76.33506,330.26,0.58,0.52,2024-10-17,0832,N20,VIIRS,n,2,301.17,3.91,D,0
30.59251,76.32178,330.16,0.58,0.52,2024-10-17,0832,N20,VIIRS,n,2,302.28,4.12,D,0
31.05714,76.21382,340.31,0.58,0.52,2024-10-17,0832,N20,VIIRS,n,2,301.7,4.16,D,0
31.01299,75.40363,331.59,0.52,0.5,2024-10-17,0832,N20,VIIRS,n,2,302.24,2.9,D,0
30.44777,75.89485,331.48,0.54,0.51,2024-10-17,0832,N20,VIIRS,n,2,301.54,2.8,D,0
30.47376,75.81686,334.55,0.46,0.39,2024-10-18,0813,N20,VIIRS,n,2,304.33,6.94,D,0
31.10518,75.40644,332.79,0.45,0.39,2024-10-18,0813,N20,VIIRS,n,2,304.41,2.68,D,0
30.61709,76.41325,333.25,0.39,0.36,2024-10-19,0754,N20,VIIRS,n,2,303.57,2.49,D,0
30.61647,76.40926,331.48,0.39,0.36,2024-10-19,0754,N20,VIIRS,n,2,302.75,2.25,D,0
30.67342,76.29465,333.77,0.39,0.36,2024-10-19,0754,N20,VIIRS,l,2,304.16,2.66,D,0
30.68458,76.30056,343.17,0.39,0.36,2024-10-19,0754,N20,VIIRS,n,2,305.41,5.64,D,0
30.72794,76.38216,334.25,0.39,0.36,2024-10-19,0754,N20,VIIRS,n,2,303.71,3.05,D,0
