latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
31.26724,75.55724,338.6,0.48,0.48,2026-07-01,0735,N20,VIIRS,n,2.0NRT,291.57,4.42,D
30.59205,76.28645,336.8,0.59,0.53,2026-07-03,0837,N20,VIIRS,n,2.0NRT,290.77,5.44,D
30.5901,76.28471,330.97,0.59,0.53,2026-07-03,0837,N20,VIIRS,n,2.0NRT,290.51,5.75,D
30.82466,76.13155,334.08,0.39,0.36,2026-07-05,0758,N20,VIIRS,n,2.0NRT,296.89,1.6,D
30.89294,76.26231,338.89,0.39,0.36,2026-07-05,0758,N20,VIIRS,n,2.0NRT,297.38,3.45,D
30.94462,76.20167,336.27,0.39,0.36,2026-07-05,0758,N20,VIIRS,n,2.0NRT,298.48,2.52,D
30.92682,75.63877,337.66,0.4,0.44,2026-07-06,0741,N20,VIIRS,n,2.0NRT,294.95,3.19,D
30.91256,75.52628,334.64,0.4,0.44,2026-07-06,0741,N20,VIIRS,n,2.0NRT,295.91,2.21,D
30.94882,75.37264,346.68,0.41,0.45,2026-07-06,0741,N20,VIIRS,n,2.0NRT,295.95,5.99,D
30.84489,75.59411,343.61,0.37,0.58,2026-07-07,0724,N20,VIIRS,n,2.0NRT,292.15,3.81,D
31.02118,75.56987,336.5,0.37,0.58,2026-07-07,0724,N20,VIIRS,n,2.0NRT,290.43,2.16,D
30.92034,75.56538,332.22,0.54,0.42,2026-07-09,0826,N20,VIIRS,n,2.0NRT,297.83,1.86,D
31.0406,75.40263,337.04,0.53,0.42,2026-07-09,0826,N20,VIIRS,n,2.0NRT,296.29,7.36,D
31.06181,75.4504,332.79,0.53,0.42,2026-07-09,0826,N20,VIIRS,n,2.0NRT,296.25,5.37,D
31.06116,75.44482,331.38,0.53,0.42,2026-07-09,0826,N20,VIIRS,n,2.0NRT,297.62,5.37,D
30.68641,75.71434,345.98,0.38,0.36,2026-07-10,0807,N20,VIIRS,n,2.0NRT,299.99,6.06,D
30.91553,75.65636,345.26,0.39,0.36,2026-07-10,0807,N20,VIIRS,n,2.0NRT,303.26,4.26,D
30.91224,75.56654,343.92,0.38,0.36,2026-07-10,0807,N20,VIIRS,n,2.0NRT,301.85,4.15,D
30.90104,75.42482,334.52,0.38,0.36,2026-07-10,0807,N20,VIIRS,n,2.0NRT,299.92,1.87,D
30.9168,75.37228,336.52,0.38,0.36,2026-07-10,0807,N20,VIIRS,n,2.0NRT,298.78,2.79,D
31.01557,75.46362,335.78,0.38,0.36,2026-07-10,0807,N20,VIIRS,n,2.0NRT,299.95,1.88,D
31.13899,75.49283,342.72,0.38,0.36,2026-07-10,0807,N20,VIIRS,n,2.0NRT,300.06,4.03,D
31.13713,75.43546,335.39,0.38,0.36,2026-07-10,0807,N20,VIIRS,n,2.0NRT,299.33,2.69,D
31.15095,75.48215,334.51,0.38,0.36,2026-07-10,0807,N20,VIIRS,n,2.0NRT,299.61,1.85,D
31.15512,75.46479,332.62,0.38,0.36,2026-07-10,0807,N20,VIIRS,n,2.0NRT,298.66,1.87,D
31.20767,75.47513,336.76,0.38,0.36,2026-07-10,0807,N20,VIIRS,n,2.0NRT,300.61,2.54,D
30.77537,76.21571,335.57,0.42,0.38,2026-07-15,0813,N20,VIIRS,n,2.0NRT,300.8,2.26,D
30.88434,76.14273,333.51,0.42,0.38,2026-07-15,0813,N20,VIIRS,n,2.0NRT,301.18,2.61,D
30.90398,76.18416,334.31,0.42,0.38,2026-07-15,0813,N20,VIIRS,n,2.0NRT,301.51,3.85,D
30.90742,76.18354,336.96,0.42,0.38,2026-07-15,0813,N20,VIIRS,n,2.0NRT,304.4,7.42,D
30.90927,75.40314,337.06,0.4,0.37,2026-07-15,0813,N20,VIIRS,n,2.0NRT,299.55,3,D
31.06244,75.52641,341.68,0.41,0.37,2026-07-15,0813,N20,VIIRS,n,2.0NRT,300.9,3.65,D
31.24065,75.4735,333.49,0.41,0.37,2026-07-15,0813,N20,VIIRS,n,2.0NRT,300.62,2.65,D
30.88996,75.90708,309.23,0.42,0.37,2026-07-15,2038,N20,VIIRS,n,2.0NRT,294.62,0.87,N
30.91678,75.4222,335.42,0.44,0.38,2026-07-16,0754,N20,VIIRS,l,2.0NRT,299.8,4.42,D
30.73457,76.22543,339.6,0.41,0.37,2026-07-16,0754,N20,VIIRS,n,2.0NRT,299.57,4.6,D
30.85322,75.52117,352.16,0.49,0.49,2026-07-17,0735,N20,VIIRS,n,2.0NRT,297.46,10.45,D
31.18654,75.49041,338.02,0.49,0.48,2026-07-17,0735,N20,VIIRS,n,2.0NRT,296.52,9.52,D
31.20271,75.5015,335.51,0.48,0.48,2026-07-17,0735,N20,VIIRS,n,2.0NRT,295.45,4.05,D
31.20179,75.49908,335.12,0.48,0.48,2026-07-17,0735,N20,VIIRS,n,2.0NRT,295.56,3.72,D
31.01746,75.52035,330.64,0.46,0.63,2026-07-18,0718,N20,VIIRS,n,2.0NRT,286.44,3.27,D
30.80121,75.47137,334.22,0.4,0.37,2026-08-16,0813,N20,VIIRS,n,2.0NRT,300.67,2.36,D
30.66109,76.31641,334.5,0.43,0.38,2026-09-01,0813,N20,VIIRS,n,2.0NRT,298.08,3.62,D
30.9613,76.23922,336.78,0.46,0.39,2026-09-13,0750,N20,VIIRS,n,2.0NRT,295.62,4.73,D
30.95447,75.87242,304.27,0.57,0.52,2026-09-13,2014,N20,VIIRS,n,2.0NRT,292.47,1.38,N
